ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,816.7533903,632.1918952,94.22519653,0.876805227,28.39036659,56.67079497,0.365508396,0.016243698,0,1,1
1,1349.13624,2966.791954,52.31507559,0.837460745,84.58696509,47.03766433,0.307665532,0.01458378,0,1,0
1,1490.677094,695.1514232,76.44982449,3.563155744,25.1119862,74.84200416,0.000168879,6.46E-06,1,0,0
1,634.6685592,2980.98033,138.7726447,1.527900553,40.18545549,49.98567822,0.689318671,0.030834726,0,1,0
1,667.834364,2127.194413,164.7729065,5.624255933,31.89172454,68.58614584,0.010375977,0.000404043,1,1,0
1,435.1288765,412.9434178,172.4688531,0.849616617,22.79784309,70.57024962,0.139015735,0.006628652,0,1,0
1,601.3590244,174.5620285,187.8680414,1.622318957,72.64355618,80.23905306,0.395572917,0.01931036,0,1,1
1,749.0338032,4229.251148,93.97334782,9.57233503,30.15485413,60.13850299,0.079647128,0.003964259,1,0,1
1,1926.529602,407.8196179,133.5620733,3.843451048,37.22527447,68.16268649,0.364384969,0.017032297,1,0,1
1,490.8351662,483.1859904,163.4292176,0.815058346,11.11585981,60.56030844,0.001420455,5.06E-05,0,1,0
1,494.2999138,471.6111412,115.0381138,0.450491788,39.2689741,73.2003428,0.250165053,0.011000208,1,0,0
1,1174.07742,1167.898805,60.7437638,0.263937459,29.50477223,25.69631478,0.80372979,0.034756764,0,1,0
1,1174.846218,468.9698846,167.1124438,2.484754139,36.30095536,84.24798025,0.342102848,0.014838977,0,1,1
1,487.3620419,199.9864254,164.5209618,1.705953771,62.15216125,81.28834328,0.385455259,0.017672895,0,1,1
1,2023.999255,1978.222228,74.230721,1.699847617,31.14223875,39.17430377,0.000491431,2.05E-05,0,1,0
1,883.2069295,1245.747919,115.6802144,1.945878228,57.6623212,70.74789829,0.347488403,0.015492078,0,1,1
1,1328.446326,1191.272858,95.63014511,1.165698547,31.85992791,80.38184821,0.572705451,0.025361321,1,0,0
1,1305.199398,1161.812061,103.2149828,1.769507331,38.2676308,49.33287513,0.475509752,0.021268381,1,0,0
1,697.2539822,589.2702974,96.23340938,1.000044386,38.22636853,65.36287611,0.242283487,0.010874479,0,1,1
1,1071.635318,830.3798126,114.6314252,3.232138514,21.73366624,46.90258513,0.365805288,0.016639206,0,1,1
1,739.7030177,491.0116303,141.4396072,1.281834952,14.52480913,64.22473828,0.294250488,0.014155781,0,1,1
1,1596.592806,4398.176296,59.5051189,2.544040349,45.05059877,53.65487134,0.227221112,0.010703885,1,0,0
1,631.8504504,738.229291,129.8761442,0.903157813,27.2248691,62.16208551,0.208205416,0.009219712,0,1,0
1,910.4698382,915.6148262,95.74384506,1.28556908,40.50309453,65.06519665,0.422218658,0.01897799,1,0,0
1,1245.074941,1197.889236,62.55522716,0.437642486,10.98260999,19.20429049,0.031797552,0.001465267,1,0,0
1,143.8544914,4.447005667,113.7124754,2.490277715,49.60887013,50.4113886,0.981178284,0.041105427,1,1,0
1,775.9515626,255.9292688,133.2300609,1.227248215,56.28678517,60.52025,0.175995431,0.007780375,0,1,1
1,877.1533012,862.0175643,111.1127327,0.537727922,34.24695071,58.28173765,0.024815769,0.000985659,0,1,0
1,1966.801927,1147.398125,179.445289,1.995250605,26.17386279,65.84198793,0.214219437,0.009215357,0,1,1
1,777.5571908,513.6319556,89.90835082,1.141457048,32.56512921,40.98601356,0.360734133,0.016943354,0,1,1
1,2154.287512,2268.841118,44.95376049,2.592776225,14.19767464,35.55997583,0.339053554,0.015741411,0,1,0
1,349.3458056,263.2017127,146.7051558,0.755681353,31.57372216,71.23624026,0.329008664,0.014084731,0,1,1
1,939.5778629,428.2178721,143.4890925,2.654366537,41.1740421,82.60175545,0.438006189,0.020678195,0,1,1
1,991.6288813,547.9018399,129.706463,2.109433492,55.05103016,69.90508011,0.471069694,0.022426846,0,1,1
1,394.6601097,139.816349,150.7985105,1.492538298,30.22228166,70.26735941,0.375864874,0.018012247,0,1,1
1,2013.924881,561.5285869,150.6969138,3.243291125,25.54901316,73.1851017,0.267262777,0.012841141,1,0,1
0,0,0,0,0,0,0,0,0,1,1,0
1,707.9397438,1055.770477,164.4495308,1.256927449,43.40702518,62.43247441,0.14051791,0.006393201,0,1,1
