ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,496.0011951,462.8448944,139.914254,0.652570674,34.47444687,48.43933739,0.925735429,0.03951637,0,1,0
1,550.1133106,511.0682108,95.89507338,0.65385404,89.32994584,61.73394046,0.46785248,0.021345673,0,1,1
1,778.4808068,1380.33612,118.2065711,4.184077613,23.61786637,42.04484229,0.298509115,0.013857037,1,0,0
1,1572.865248,869.381077,123.3781942,6.439316782,38.39856088,59.01792896,0.808921814,0.035595694,1,1,0
1,1662.143737,1599.187277,23.87833205,2.305534619,16.34175976,21.17173192,0.555094162,0.024613446,0,1,0
1,690.3867723,695.5810494,149.4252803,2.365383062,14.93335706,60.55130072,0.287369792,0.013089239,0,1,0
1,361.5887758,361.6103255,159.1901172,0.661381591,0,57.38746728,0.195793622,0.008495808,0,1,0
1,1532.917973,858.3356187,96.91902533,3.352939386,46.56539555,42.84015832,0.436994881,0.019056838,0,1,1
1,412.2890656,129.9619224,164.9346263,1.430212941,56.2871785,76.47325368,0.446543376,0.020032377,0,1,1
1,686.8592688,684.1358986,106.3007488,1.114845914,83.65826558,53.98622424,0.305227569,0.014729912,0,1,0
1,1039.068927,1157.065216,132.0117709,2.079402564,37.01143795,60.62895862,0.112137069,0.004968591,0,1,0
1,845.8640322,1172.341014,77.55124097,3.236026043,26.15857419,66.50582731,0.135832332,0.006338351,1,0,0
1,494.0513672,622.4044311,125.0711542,1.501298158,15.8446868,60.67070229,0.069583834,0.00324995,1,0,0
1,807.0087175,1572.385533,55.84166672,1.120660347,18.43934532,38.6672586,0.082764388,0.003620568,0,1,0
1,593.5780792,738.8831595,173.2402238,2.371776607,25.34570958,65.79766726,0.299813279,0.013568244,0,1,0
1,1297.58795,339.1426282,146.6245995,1.817859973,70.14152519,98.01970094,0.388852163,0.017426578,0,1,1
1,723.6430653,163.5533856,148.7899841,2.347513042,33.44222809,27.14035906,0.336784024,0.016510224,0,1,1
1,1731.087164,561.8729609,194.6041116,3.0755292,44.76224074,94.13506338,0.398460411,0.017265099,0,1,0
1,1050.656711,282.5688981,155.4973155,2.933948048,53.13821259,62.26484141,0.375137463,0.017736558,0,1,1
1,790.8571216,372.9246111,139.619211,1.764771073,36.60313582,55.49758982,0.363883341,0.015513118,0,1,1
1,2599.609859,6081.408024,110.9023242,10.99625201,27.88084504,67.86622912,0,0,1,0,0
1,1318.244174,1313.120495,110.4381179,0.403597663,18.79932674,78.28547956,0.575716146,0.026740786,1,0,0
1,489.9428248,2294.606349,105.7123351,2.087449459,40.70844921,61.87379617,0.71359375,0.030096129,1,0,0
1,453.0490855,319.1797789,187.9769566,0.928280571,27.50200754,69.87550593,0.399726219,0.0172653,0,1,0
1,814.9921078,92.80870126,159.0312772,2.619573411,28.1932761,54.72159617,0.443701044,0.019665178,0,1,1
1,1071.312826,877.9517844,128.3366755,2.477105305,54.11481341,75.0814928,0.044133113,0.001738949,0,1,0
1,469.3792609,543.3877521,70.87063017,1.609394116,33.34075898,37.40596582,0.340605765,0.016470713,0,1,0
1,965.2760376,723.0250031,90.72377227,1.542618852,25.2885376,46.56921224,0.263322489,0.011714558,0,1,1
1,1229.930706,1119.774417,84.39717014,0.374089772,43.17228569,59.78906936,0.41656005,0.018932501,1,0,0
1,605.9204638,272.0806801,187.2478513,1.387625991,37.265497,84.82266488,0.298361707,0.01286813,0,1,1
1,947.2830009,333.1230165,135.142188,3.387620194,26.94198185,37.00615712,0.435281699,0.019518154,0,1,1
